"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"2051797","2020-Jan-02 03:26 PM","Morton Salt","","","No","Yes","Bottles","","MORTON-07","Morton Salt","#F111960000B Salt 14oz Refill","Grinders","Finished Good","2020-Jan-14 09:30 AM","100.00%","","2020-Jan-08 06:30 AM","07-3rd-JANPO20","MISSING SALT (NO ETA)
RUN TO THE NUMBER","Closed","6702224437","","","","MSI Portage","9.00","1750.00000","0.00","0.00","0.00000","15708.00000","bottles","42000.00000","15708.00000","26292.00000"
"2051796","2020-Jan-02 03:24 PM","Morton Salt","","","No","No","Bottles","","MORTON-11","Morton Salt","#F179960000B Windsor Salt 14oz Refill","Grinders","Finished Good","","100.00%","","","11-JANPO","MISSING ALL COMPONENTS
RUN TO THE NUMBER","Booked","6702224438","","","","MSI Portage","9.00","1746.00000","0.00","0.00","0.00000","","bottles","25200.00000","0.00000","25200.00000"
"2051782","2020-Jan-02 03:11 PM","Olly","2020-Jan-02 03:10 PM","","No","Yes","Vitamin","","OLLY-38-12PK","Olly","700074.03 Restful Sleep 50ct (2nd. Location) - Medium","Medium","Finished Good","2020-Jan-07 02:57 PM","100.00%","","","2051782","","Closed","100942","","","","MSI Portage","8.00","989.25000","0.00","0.00","0.00000","38004.00000","bottles","38000.00000","38004.00000","-4.00000"
"2051712","2020-Jan-02 02:12 PM","Post Foods","","","No","Yes","Cups","","POST-11WIP","Post Foods","27899 2Oz Frosted Wheat Cup - WIP","","WIP","2020-Jan-10 09:30 AM","100.00%","","2020-Jan-08 06:30 AM","11WIP-8TH-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","6.00","2931.25000","0.00","0.00","0.00000","26053.00000","cups","25000.00000","26053.00000","-1053.00000"
"2051704","2020-Jan-02 02:06 PM","Post Foods","","","No","Yes","Cups","","POST-10WIP","Post Foods","28069 3Oz Raisin Bran Cup - WIP","","WIP","2020-Jan-09 04:30 AM","100.00%","","2020-Jan-07 03:30 PM","10WIP-7TH-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","6.00","2931.25000","0.00","0.00","0.00000","25307.00000","cups","25000.00000","25307.00000","-307.00000"
"2051702","2020-Jan-02 02:04 PM","Post Foods","","","No","Yes","Solid Food","","POST-12","Post Foods","FPS-2043 HBO With Strawberry 2oz Cereal Cup 60ct Case","","Finished Good","2020-Jan-08 07:00 AM","100.00%","","2020-Jan-07 06:30 AM","12-5TH-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","9.50","75.00000","0.00","0.00","0.00000","7680.00000","cups","7500.00000","7680.00000","-180.00000"
"2051700","2020-Jan-02 02:01 PM","Post Foods","","","No","Yes","Cups","","POST-12WIP","Post Foods","27900 2Oz HBO Strawberry Cup - WIP","","WIP","2020-Jan-07 11:00 PM","100.00%","","2020-Jan-07 06:30 AM","12WIP-4TH-JANPO20","RUN TO THE NUMBER","Closed","","","","","MSI Portage","6.00","2931.25000","0.00","0.00","0.00000","25262.00000","cups","25000.00000","25262.00000","-262.00000"
"2051646","2020-Jan-02 01:59 PM","Post Foods","","","No","Yes","Cups","","POST-07WIP","Post Foods","28056 HBO Honey Roasted Cereal Cup - WIP","","WIP","2020-Jan-07 01:00 PM","100.00%","","2020-Jan-06 03:30 PM","07WIP-3RD-JANPO20","MISSING CEREAL, ETA 1/6
RUN TO THE NUMBER","Closed","","","","","MSI Portage","6.00","2931.25000","0.00","0.00","0.00000","25156.00000","cups","25000.00000","25156.00000","-156.00000"
"2051643","2020-Jan-02 01:56 PM","Post Foods","","","No","Yes","Cups","","POST-04WIP","Post Foods","28055 2Oz Cocoa Pebbles Cup - WIP","","WIP","2020-Jan-07 03:30 AM","100.00%","","2020-Jan-03 03:30 PM","04WIP-2ND-JANPO20","RUN TO THE NUMBER ONLY","Closed","","","","","MSI Portage","7.50","2500.00000","0.00","0.00","0.00000","25190.00000","cups","25000.00000","25190.00000","-190.00000"
"2051607","2020-Jan-02 01:43 PM","Post Foods","","","No","Yes","Solid Food","","POST-05WIP","Post Foods","28054 2Oz Fruity Pebbles Cup - WIP","","Finished Good","2020-Jan-06 02:45 PM","100.00%","","2020-Jan-03 06:30 AM","05WIP-1st-JANPO20","RUN TO THE NUMBER.","Closed","","","","","MSI Portage","7.50","2500.00000","0.00","0.00","0.00000","25147.00000","cups","25000.00000","25147.00000","-147.00000"
"2051290","2020-Jan-02 11:54 AM","Olly","2020-Jan-02 11:50 AM","","No","Yes","","","OLLY-02-07-MRP","Olly","350 ml Twist Turn Closure Seal Assembly - Medium","Medium","Caps","","100.00%","","","2051290","","Booked","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","237996.00000","eaches","500000.00000","237996.00000","262004.00000"
"2051288","2020-Jan-02 11:53 AM","Olly","2020-Jan-02 11:50 AM","","No","Yes","","","OLLY-04-07-MRP","Olly","500 ml Twist Turn Closure Assembly - Large","Large","Caps","","100.00%","","","2051288","","Booked","","","","","MSI Portage","0.00","0.00000","0.00","0.00","0.00000","120648.00000","eaches","20000.00000","120648.00000","-100648.00000"
"2050521","2020-Jan-02 07:18 AM","Mars / Wrigley","","","No","Yes","Candy","","MARS-16A","Mars / Wrigley","10194416 Dove Truffles Dark Chocolate 8ct.","","Finished Good","2020-Jan-02 11:00 PM","100.00%","","","2050521","","Closed","","","","","MSI Portage","8.00","2464.00000","0.00","0.00","0.00000","24512.00000","bags","30000.00000","24512.00000","5488.00000"
"2050341","2020-Jan-01 09:07 AM","Olly","2020-Jan-02 06:07 AM","","No","Yes","Pouches","","OLLY-105","Olly","700250.01 Swift Energy Pineapple 9Ct. Travel Pack","","Finished Good","2020-Jan-04 09:00 PM","100.00%","","","2050341","","Closed","","","","","MSI Portage","4.00","760.00000","0.00","0.00","0.00000","8856.00000","pouches","32000.00000","8856.00000","23144.00000"
