"Project ID","Created date","Customer name","Due date","Estimate name","Has Estimate","Has uninvoiced charge","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Date last Job completed ","Performance","Planned end","Planned start","Project code","Project description","Project status","Reference 1","Reference 2","Reference 3","Scenario name","Site name","Standard people","Standard units per hour","Total charge","Uninvoiced total charge","Uninvoiced total charge per unit","Uninvoiced units produced","Unit of measure","Units expected","Units Produced","Units remaining"
"1967478","2019-Oct-07 03:48 PM","Mondelez","","00125460103300 - GUM2","Yes","Yes","","","MONDELZ-NC-04","Mondelez","00125460103300 2016 Dentyne Ice Peppermint 24/20Ct","","Finished Good","2019-Nov-23 11:26 PM","100.00%","2019-Nov-20 03:04 PM","2019-Nov-14 10:47 AM","1967478","","Closed","","","","L - 00125460103300","Newcomerstown","5.00","153.00000","41093.58","41093.58","4.18000","9831.00000","cases","9787.00000","9831.00000","-44.00000"
"1967476","2019-Oct-07 03:47 PM","Mondelez","","00125460075300 - GUM2","Yes","Yes","","","MONDELZ-NC-03","Mondelez","00125460075300 Trident Splash Strawberry Lime 24/15ct","","Finished Good","2019-Dec-21 10:34 PM","100.00%","2019-Dec-23 10:01 AM","2019-Dec-16 07:00 AM","1967476","","Closed","","","","L - 00125460075300","Newcomerstown","5.00","153.00000","41524.90","41524.90","4.15000","10006.00000","cases","10000.00000","10006.00000","-6.00000"
"1967474","2019-Oct-07 03:46 PM","Mondelez","","00125460075300 - GUM2","Yes","Yes","","","MONDELZ-NC-03","Mondelez","00125460075300 Trident Splash Strawberry Lime 24/15ct","","Finished Good","2019-Dec-05 07:00 PM","100.00%","2019-Dec-10 10:45 PM","2019-Nov-25 07:00 AM","1967474","","Closed","","","","L - 00125460075300","Newcomerstown","5.00","153.00000","41695.05","41695.05","4.15000","10047.00000","cases","10000.00000","10047.00000","-47.00000"
"1967468","2019-Oct-07 03:42 PM","Mondelez","","00125460074700 - GUM2","Yes","Yes","","","MONDELZ-NC-02","Mondelez","00125460074700 Trident Spearmint 24/20ct","","Finished Good","2019-Dec-16 11:55 PM","100.00%","2019-Dec-18 07:16 AM","2019-Dec-16 07:00 AM","1967468","","Closed","","","","L - 00125460074700","Newcomerstown","5.00","153.00000","39793.60","39793.60","4.18000","9520.00000","cases","10426.00000","9520.00000","906.00000"
"1967466","2019-Oct-07 03:41 PM","Mondelez","","00125460074700 - GUM2","Yes","Yes","","","MONDELZ-NC-02","Mondelez","00125460074700 Trident Spearmint 24/20ct","","Finished Good","2019-Nov-11 10:58 PM","100.00%","2019-Nov-12 08:10 AM","2019-Nov-04 10:55 AM","1967466","","Closed","","","","L - 00125460074700","Newcomerstown","5.00","153.00000","42046.62","42046.62","4.18000","10059.00000","cases","10000.00000","10059.00000","-59.00000"
"1967460","2019-Oct-07 03:39 PM","Mondelez","","00125460074500 - GUM2","Yes","Yes","","","MONDELZ-NC-01","Mondelez","00125460074500 Trident Peppermint 24/20ct","","Finished Good","2019-Dec-11 01:00 PM","100.00%","2019-Dec-11 11:39 AM","2019-Dec-04 09:24 AM","1967460","","Closed","","","","L - 00125460074500","Newcomerstown","5.00","153.00000","41812.54","41812.54","4.18000","10003.00000","cases","10000.00000","10003.00000","-3.00000"
"1967458","2019-Oct-07 03:38 PM","Mondelez","","00125460074500 - GUM2","Yes","Yes","","","MONDELZ-NC-01","Mondelez","00125460074500 Trident Peppermint 24/20ct","","Finished Good","2019-Oct-14 03:30 PM","100.00%","2019-Oct-24 11:47 PM","2019-Oct-21 07:00 AM","1967458","","Closed","","","","L - 00125460074500","Newcomerstown","5.00","153.00000","38765.32","38765.32","4.18000","9274.00000","cases","10000.00000","9274.00000","726.00000"
"1967440","2019-Oct-07 03:30 PM","Mondelez","","704620032900 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","2019-Dec-12 03:35 PM","100.00%","2019-Dec-17 09:14 PM","2019-Dec-13 01:54 PM","1967440","","Closed","","","","L - 704620032900","Newcomerstown","6.00","384.00000","13138.54","13138.54","1.46000","8999.00000","cases","13769.00000","8999.00000","4770.00000"
"1967438","2019-Oct-07 03:27 PM","Mondelez","","704620032900 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-11","Mondelez","704620032900 6Ct - 10Oz Sourpatch Strawberry Bag","","Finished Good","2019-Nov-08 02:00 PM","100.00%","2019-Nov-25 11:10 PM","2019-Oct-28 10:06 AM","1967438","","Closed","","","","L - 704620032900","Newcomerstown","6.00","384.00000","13115.18","13115.18","1.46000","8983.00000","cases","8960.00000","8983.00000","-23.00000"
"1967432","2019-Oct-07 03:23 PM","Mondelez","","704620032700 - SP1/SP2","Yes","Yes","","","MONDELZ-NC-10","Mondelez","704620032700 6Ct - 9Oz Sourpatch Big Kids Bag","","Finished Good","","100.00%","2019-Dec-11 05:56 PM","2019-Dec-09 03:10 PM","1967432","","Closed","","","","L - 704620032700","Newcomerstown","7.00","384.00000","18058.74","18058.74","1.46000","12369.00000","cases","16467.00000","12369.00000","4098.00000"
